Time,CPUUtil,RAMUtil
1:00 AM,29.63%,19.97%
2:00 AM,83.42%,88.80%
3:00 AM,0.85%,73.37%
4:00 AM,45.84%,60.10%
5:00 AM,14.21%,45.67%
6:00 AM,43.53%,53.16%
7:00 AM,14.33%,34.73%
8:00 AM,31.43%,40.27%
9:00 AM,35.37%,91.04%
10:00 AM,37.01%,9.50%
11:00 AM,45.54%,52.52%
12:00 PM,35.41%,29.24%
1:00 PM,84.16%,0.50%
2:00 PM,94.22%,16.87%
3:00 PM,47.41%,20.74%
4:00 PM,45.76%,59.01%
5:00 PM,64.00%,0.32%
6:00 PM,66.34%,30.10%
7:00 PM,37.80%,42.41%
8:00 PM,18.32%,45.80%
9:00 PM,83.04%,40.66%
10:00 PM,40.86%,62.89%
11:00 PM,58.32%,87.67%
12:00 AM,29.53%,61.30%
